area;ciudad;conglomerado;panelm;vivienda;hogar;s101p11;s101p12a;s101p12b;s101p12c;s101p12d;s101p12e;s101p2a;s101p2b;s101p2c;s101p2d;s101p2e;s101p2f;s101p5a;s101p5b;s101p5c;s101p5d;s101p5e;s101p5f;s101p5g;s101p51a;s101p52a;s101p51b;s101p52b;s101p51c;s101p52c;s101p51d;s101p52d;s101p51e;s101p52e;s101p51f;s101p52f;s101p51g;s101p52g;s101p51h;s101p52h;s101p51i;s101p52i;s101p51j;s101p52j;s101p51k;s101p52k;s101p51l;s101p52l;s101p61;s101p62;s101p63;s101p64;s101p65;s101p66;s101p67;s101p68;s91p91;s91p92;s91p93;s91p94;s91p95;s91p96;s91p10;s91p111;s91p112;s91p113;s91p114;s91p115;s91p121;s91p122;s91p123;s91p124;s91p125;s91p126;s91p131;s91p132;s91p133;fexp
1;010150;019002;052;08;1;2;1;1;2;2;2;3;2;2;3;7;3;6;3;3;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;2;2;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;4;4;4;4;4;2;3;3;3;91.57
1;010150;027901;052;01;1;2;2;2;2;2;2;3;3;3;3;3;3;1;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;2;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;4;4;4;3;3;3;3;4;4;215.25
1;010150;027901;052;04;1;1;1;1;2;2;2;2;2;2;3;3;4;3;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4;2;2;2;2;2;4;3;3;4;4;4;4;4;4;215.25
1;010150;030702;071;03;1;2;2;2;2;2;2;3;3;3;3;3;3;8;3;3;8;3;8;3;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;4;4;3;5;5;2;3;3;4;49.71
1;010150;036701;068;04;1;1;1;1;2;2;2;2;2;2;3;3;3;6;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;1;1;2;1;1;2;2;2;2;2;2;2;3;2;2;2;2;2;4;5;4;4;5;4;4;4;4;42.46
1;010150;036701;068;05;1;2;1;1;2;2;2;3;2;2;3;3;3;6;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;2;1;2;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;4;4;4;5;3;4;4;4;4;42.46
1;010150;046802;052;02;1;1;1;1;2;2;2;1;1;1;7;3;7;8;3;1;8;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;5;3;3;5;5;1;5;3;3;429.92
1;010150;047901;052;06;1;1;1;1;1;2;2;3;2;2;2;3;7;1;8;4;1;8;8;1;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;1;1;1;2;1;2;1;2;1;1;3;2;2;2;2;2;5;5;5;5;5;1;3;3;5;187.06
1;010150;052102;074;01;1;2;2;2;2;2;2;3;3;3;3;3;3;3;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;2;1;1;1;1;1;2;2;2;2;2;2;2;4;2;2;2;2;2;5;5;5;5;5;1;2;5;1;54.12
1;010150;052102;074;03;1;2;1;1;2;2;2;3;2;2;3;3;3;1;3;8;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;1;1;1;1;1;2;2;2;2;2;2;2;3;2;2;2;2;2;5;5;5;5;5;5;5;3;3;54.12
1;010150;052102;074;06;1;1;1;1;1;2;1;5;2;2;1;3;2;6;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;4;4;4;4;4;5;5;4;5;54.12
1;010150;052102;074;07;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;6;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;1;2;2;2;2;2;2;2;4;1;1;1;2;2;5;5;5;5;5;5;5;5;1;54.12
1;010150;052901;052;04;1;2;2;2;2;2;2;3;3;3;3;3;3;7;3;3;3;3;3;3;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;5;3;7;#NULO!;6;10;2;1;1;1;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;1;5;4;4;4;4;4;4;4;4;65.37
1;010150;053702;074;06;1;1;1;1;2;2;2;2;2;2;3;3;3;8;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;2;1;1;1;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;3;4;4;5;3;4;3;3;3;57.27
1;010150;053702;074;10;1;1;1;1;1;1;1;2;2;2;1;2;2;8;8;8;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;2;2;2;2;2;4;5;5;5;5;5;5;5;5;57.27
1;010150;055502;068;01;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;8;3;3;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;2;1;1;2;1;1;2;2;2;2;2;2;2;4;2;2;2;2;2;5;5;3;4;4;5;5;4;4;43.21
1;010150;055502;068;05;1;2;1;1;2;2;2;3;2;2;3;3;3;1;3;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;2;1;2;2;2;2;1;2;2;2;3;2;2;2;2;2;3;4;5;5;4;4;4;3;5;43.21
1;010150;055502;068;06;1;2;2;2;2;2;2;3;3;3;3;3;3;1;3;3;3;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;5;5;5;3;5;5;43.21
1;010150;055502;068;07;1;2;1;1;2;2;2;3;2;2;3;3;3;8;3;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;2;1;1;2;2;1;2;2;2;2;2;3;2;2;2;2;2;4;5;5;5;5;4;4;5;3;43.21
1;010150;056002;071;01;1;1;1;1;1;2;2;1;1;1;6;3;7;8;3;1;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;1;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;4;3;3;5;5;1;3;3;5;91.84
1;010150;057202;074;01;1;1;2;2;2;2;2;2;3;3;3;7;7;8;3;3;8;3;3;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;5;8;7;#NULO!;5;5;2;1;1;1;2;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;5;5;5;5;5;1;2;2;4;99.13
1;010150;064707;074;01;1;2;1;1;1;2;2;3;2;2;1;3;3;6;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;1;1;1;2;2;2;2;2;2;2;4;2;2;2;2;2;5;5;5;5;4;3;2;5;3;31.23
1;010150;064707;074;05;1;1;1;1;2;2;2;2;2;2;3;3;3;3;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;2;1;1;2;2;2;2;2;2;2;4;2;2;2;2;2;4;5;5;5;5;1;3;5;4;31.23
1;010150;064707;074;07;1;2;2;2;2;2;2;3;3;3;3;3;3;8;3;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;1;1;2;2;2;2;2;2;2;2;3;2;2;2;2;2;5;5;3;4;4;4;4;3;5;31.23
1;010150;064707;074;08;1;2;2;2;2;2;2;3;3;3;3;3;3;6;8;8;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;3;3;3;3;3;3;3;4;31.23
1;010150;065701;052;02;1;2;1;1;2;2;2;3;2;2;3;3;3;3;3;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;2;1;2;2;2;2;2;2;3;2;2;2;2;2;3;3;3;4;4;4;3;4;3;46.29
1;010150;065701;052;07;1;2;1;1;2;2;2;3;2;2;3;3;3;8;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;5;7;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;2;1;1;2;1;2;2;2;2;1;2;2;2;3;2;2;2;2;2;4;5;4;5;5;3;3;4;4;46.29
1;010150;070903;074;04;1;2;1;1;2;2;2;3;2;1;3;3;3;6;8;3;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;5;5;5;5;5;4;3;62.27
1;010150;075702;074;01;1;2;1;1;1;2;1;3;2;2;1;3;2;1;8;3;8;8;8;1;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;5;4;5;5;4;5;5;5;4;56.31
1;010150;075702;074;02;1;2;2;1;2;2;2;3;3;2;3;3;3;8;8;3;8;8;8;3;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;5;4;5;3;4;3;4;4;3;56.31
1;010150;075702;074;09;1;1;1;1;2;2;2;1;2;2;3;3;3;8;8;2;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;1;2;2;2;2;2;2;2;3;2;2;2;2;2;5;3;4;4;3;3;4;5;4;56.31
2;010167;903603;071;03;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;8;3;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;2;1;1;1;2;1;2;1;1;2;2;2;2;1;2;2;2;2;1;4;3;4;2;2;1;3;2;468.69
1;010350;001001;052;05;1;1;2;2;2;2;2;3;3;3;3;3;3;1;3;3;8;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;1;1;1;1;2;2;2;2;2;2;2;2;4;2;2;2;2;2;5;5;5;5;5;1;5;5;5;269.59
1;010350;002003;071;09;1;1;1;1;2;1;2;2;2;2;7;2;7;8;8;2;8;8;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;1;2;1;2;1;2;2;1;4;2;2;2;1;2;5;5;5;5;5;4;4;4;4;441.84
1;011150;000302;074;06;1;2;2;2;2;2;2;3;3;3;3;3;3;8;3;3;8;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;1;1;1;2;1;2;1;2;2;2;4;2;2;2;2;2;5;2;5;5;4;2;4;4;5;434.86
1;011550;000902;052;02;1;1;1;1;2;1;1;5;2;2;7;2;2;8;8;8;2;2;2;8;7;#NULO!;7;#NULO!;7;#NULO!;5;1;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;2;1;1;1;1;2;2;2;2;2;2;2;2;4;2;2;2;2;2;2;5;4;5;4;3;3;3;4;428.06
1;011550;000902;052;04;1;2;1;2;2;2;2;3;2;3;3;3;3;3;7;3;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;2;2;2;2;2;1;2;2;4;2;2;2;2;2;2;4;2;4;3;3;4;4;3;428.06
1;011550;000902;052;06;1;1;2;2;2;2;2;5;3;3;3;3;3;3;3;4;6;3;8;6;7;#NULO!;7;#NULO!;2;0;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;2;2;2;1;2;2;2;2;4;2;2;2;1;2;3;4;3;4;5;3;3;4;4;428.06
1;011550;001807;068;02;1;2;2;1;2;2;2;3;3;2;3;7;3;7;7;7;3;3;7;3;7;#NULO!;5;5;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;1;2;1;1;2;2;1;2;2;2;1;2;4;2;2;2;2;2;5;4;4;4;4;1;3;3;5;87.87
1;011550;001807;068;05;1;1;2;2;2;2;2;5;3;3;3;7;3;7;3;3;3;4;7;3;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;5;2;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;1;2;4;3;87.87
1;011550;001807;068;07;1;1;2;2;2;2;2;5;3;3;3;7;3;7;7;3;3;3;7;3;7;#NULO!;7;#NULO!;7;#NULO!;2;10;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;2;1;2;2;2;2;2;2;2;2;4;2;2;2;2;2;5;5;5;5;5;4;3;2;5;87.87
1;020150;001805;068;03;1;2;1;1;2;2;2;3;2;2;3;3;3;8;6;4;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;2;1;2;2;2;2;1;2;1;1;3;2;2;2;1;2;5;5;5;4;5;1;1;4;4;132.12
1;020150;002404;052;02;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;3;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;5;2;2;3;3;3;5;5;4;65.64
1;020150;003104;068;01;1;1;2;2;2;2;2;5;3;3;3;3;3;3;3;4;3;3;8;8;7;#NULO!;2;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;2;1;1;1;1;2;2;2;2;1;2;1;1;4;2;2;1;1;2;5;5;5;5;4;1;1;3;4;485.76
1;020150;003104;068;03;1;1;1;1;2;2;2;5;2;2;3;3;3;3;3;4;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;2;1;2;2;2;1;1;1;1;2;4;2;2;1;1;2;5;5;4;5;5;2;1;4;3;485.76
1;020150;003104;068;10;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;4;3;3;8;8;7;#NULO!;7;#NULO!;2;15;2;10;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;2;2;2;2;1;2;1;1;4;2;2;1;2;2;5;4;5;4;5;1;1;4;5;485.76
1;020150;004303;071;06;1;2;2;2;2;2;2;3;3;3;3;3;3;3;8;3;3;3;8;3;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;3;4;4;3;149.06
2;020150;906501;074;04;1;1;1;1;2;2;2;5;2;2;3;3;3;3;3;4;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;2;5;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;2;2;1;2;2;2;2;2;3;2;2;1;1;2;5;5;5;5;5;1;1;3;3;709.75
2;020155;000302;052;05;1;2;2;2;2;2;2;3;3;3;3;3;3;3;3;4;3;3;8;8;7;#NULO!;7;#NULO!;7;#NULO!;2;10;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;7;#NULO!;1;1;1;1;1;1;1;2;1;2;2;2;1;1;3;1;2;2;1;2;5;5;4;5;5;1;1;3;5;65.05
